country,iata,publicName,city,latitude,longitude
French Polynes,AAA,"Anaa, TU",,-17.416667,-145.5
Australia,AAB,"Arrabury, QL",,-26.75,141.0
Egypt,AAC,Al-Arish,Al-Arish,31.073333,33.835833
Sudan,AAD,Ad-Dabbah,Ad-Dabbah,17.592778,33.959167
Algeria,AAE,Annaba,Annaba,36.833333,8.0
USA,AAF,"Municipal, FL",Apalachicola,29.733333,-85.033333
Brazil,AAG,"Arapoti, PR",,-24.166667,-49.666667
Germany,AAH,Merzbrueck,Aachen,50.823056,6.186111
Brazil,AAI,"Arraias, TD",,-12.916667,-46.933333
Surinam,AAJ,Cayana Airstrip,Awaradam,3.896667,-55.579167
Kiribati,AAK,Aranuka,,0.216667,174.0
Denmark,AAL,Aalborg,Aalborg,57.1,9.85
South Africa,AAM,Malamala,,-24.8,31.533333
United Arab Emirates (the),AAN,Al Ain,Al Ain,24.261667,55.609167
Venezuela,AAO,"Anaco, AN",,9.416667,-64.466667
USA,AAP,"Andrau Airpark, TX",Houston,29.723889,-95.588333
Russia (CIS),AAQ,Vitiazevo,Anapa,44.9,37.316667
Denmark,AAR,Aarhus,Aarhus,56.307222,10.626111
Indonesia,AAS,Apalapsili,,-3.916667,139.25
China,AAT,Altay,,43.933333,89.5
Samoa,AAU,Asau,,-13.458333,-172.6
Philippines,AAV,Alah,,6.366944,124.751389
Pakistan,AAW,Abbottabad,,34.2,73.25
Brazil,AAX,"Araxa, MG",,-19.568056,-46.929167
Yemen,AAY,Al-Ghaida,,16.2,52.183333
Guatemala,AAZ,Quetzaltenango,,-7.862222,13.116111
Russia,ABA,Abakan,Abakan,53.716667,91.433333
United Kingdom of Great Britain and Northern Ireland,ABB,Abingdon,Abingdon,51.666667,-1.283333
Spain,ABC,Albacete,Albacete,38.983333,-1.85
Iran,ABD,Abadan,Abadan,30.366667,48.233333
USA,ABE,Allentown,Allentown,40.652222,-75.440278
Kiribati,ABF,Abaiang,,1.416667,172.833333
Australia,ABG,"Abingdon, QL",,-17.666667,143.2
Australia,ABH,"Alpha, QL",,-23.7,146.583333
USA,ABI,Abilene,Abilene,32.416667,-99.683333
Côte d'Ivoire,ABJ,Abidjan,Abidjan,5.25,-3.933333
Ethiopia,ABK,Kabre Dare,,6.733333,44.266667
USA,ABL,"Ambler, AK",,67.1,-157.816667
Australia,ABM,"Bamaga, QL",,-10.950833,142.459444
Surinam,ABN,Albina,,5.483333,-54.05
Côte d'Ivoire,ABO,Aboisso,,5.466667,-3.2
Papua New Guin,ABP,Atkamba,,-6.066667,141.1
USA,ABQ,Albuquerque,Albuquerque,35.040278,-106.609167
USA,ABR,"Regional, SD",Aberdeen,45.45,-98.433333
Egypt,ABS,Abu Simpel,Abu Simpel,22.366667,31.616667
Saudi Arabia,ABT,Al-bayaah,Al-Bayaah,22.833333,42.216667
Indonesia,ABU,Haliwen,Atambua,-9.333333,124.9
Nigeria,ABV,Abuja,Abuja,9.006667,7.263056
Papua New Guin,ABW,Abau,,-10.166667,148.7
Australia,ABX,"Albury, NS",,-36.066667,146.95
USA,ABY,Albany,Albany,31.533333,-84.2
United Kingdom of Great Britain and Northern Ireland,ABZ,Aberdeen,Aberdeen,57.2,-2.2
Mexico,ACA,Acapulco,Acapulco,16.756944,-99.753611
USA,ACB,"Antrim County, MI",Bellaire,44.983333,-85.202778
Ghana,ACC,Accra,Accra,5.6,-0.166667
Colombia,ACD,"Acandi, CH",,8.5,-73.633333
Spain,ACE,Arrecife,Lanzarote,28.945556,-13.605278
Switzerland,ACH,Altenrhein,Altenrhein,47.483333,9.55
United Kingdom of Great Britain and Northern Ireland,ACI,Alderney,Alderney,49.7,-2.216667
USA,ACK,Nantucket,Nantucket,41.266667,-70.066667
Colombia,ACL,Aguaclara,,4.75,-73.0
Colombia,ACM,Arica,,-2.133333,-71.783333
Mexico,ACN,Int'l,Ciudad Acuna,29.3,-100.916667
Switzerland,ACO,Ascona,Ascona,46.159444,8.766667
Colombia,ACR,"Araracuara, CQ",,-0.383333,-72.3
Russia (CIS),ACS,Achinsk,,56.266667,90.566667
USA,ACT,"Regional, TX",Waco,31.616667,-97.233333
Panama,ACU,Achutupo,,8.433333,-77.966667
USA,ACV,Arcata,Arcata,40.983333,-124.1
USA,ACY,Atlantic City,Atlantic City,39.466667,-74.583333
Türkiye,ADA,Adana,Adana,36.982222,35.280278
Türkiye,ADB,Izmir,Izmir,38.2925,27.156944
Ethiopia,ADD,Addis Abeba,Addis Ababa,8.977778,38.799444
Yemen,ADE,Aden,Aden,16.038611,49.484444
Türkiye,ADF,Adiyaman,Adiyaman,37.916667,34.65
USA,ADG,"Lenawee County, MI",Adrian,41.9,-84.033333
Russia (CIS),ADH,Aldan,,58.6,125.4
Namibia,ADI,Arandis,,-22.4,15.0
Jordania,ADJ,Amman,Amman,31.972778,35.991667
USA,ADK,"Adak NAF, AK",Adak Island,51.878056,-176.646111
Australia,ADL,Adelaide,Adelaide,-34.945,138.530556
USA,ADM,"Municipal, OK",Ardmore,34.966667,-86.883333
Colombia,ADN,"Andes, AN",,5.666667,-75.883333
Australia,ADO,"Andamooka, SA",,-30.437778,137.137222
Sri Lanka,ADP,Anuradhapura,,8.3,80.416667
USA,ADQ,"Kodiak, AK",,57.75,-152.483333
USA,ADR,Andrews Sc,Andrews Sc,33.45,-79.566667
USA,ADS,"Addison, TX",Dallas,32.968611,-96.836389
USA,ADT,"Ada, OK",,,
Iran,ADU,Ardabil,,38.249444,48.301389
United Kingdom of Great Britain and Northern Ireland,ADV,Andover,Andover,51.216667,-1.466667
USA,ADW,Camp Springs MD,Camp Springs MD,38.8,-76.916667
United Kingdom of Great Britain and Northern Ireland,ADX,Leuchars,Leuchars,56.366667,-2.866667
South Africa,ADY,Alldays,,-22.666667,29.1
Colombia,ADZ,"Sesquicentenario, SA",San Andres,12.583333,-81.7
Kiribati,AEA,Abemama Atoll,,0.483333,173.85
USA,AED,"Aleneva, AK",,-0.6,10.083333
Indonesia,AEG,Aek Godang,,1.383333,99.45
Chad,AEH,Abecher,Abecher,13.85,20.85
Papua New Guin,AEK,Aseki,,-7.366667,146.283333
USA,AEL,"Albert Lea, MN",,43.683333,-93.366667
Mauritania,AEO,Aioun El Atrouss,,16.7,-9.65
Argentina,AEP,Buenos Aires,Buenos Aires,-34.559167,-58.415556
Russia,AER,Sochi,Adler/Sochi,43.45,39.933333
Norway,AES,Aalesund,Aalesund,62.560278,6.1
USA,AET,"Allakaket, AK",,66.55,-152.65
USA,AEX,"Int'l, LA",Alexandria,31.3275,-92.548611
Iceland,AEY,Akureyri,Akureyri,65.65,-18.083333
Argentina,AFA,"San Rafael, MD",,-34.583333,-68.4
South Africa,AFD,Port Alfred,,-33.583333,26.883333
USA,AFF,"USAF Academy, CO",Colorado Springs,38.969722,-104.813056
Colombia,AFI,"Amalfi, AN",,6.916667,-75.066667
Brazil,AFL,"Alta Floresta, MT",,-9.866111,-56.106111
USA,AFN,"Municipal, NH",Jaffrey,42.8,-72.0
USA,AFO,"Municipal, WY",Afton,42.716667,-110.933333
Papua New Guin,AFR,Afore,,-9.133333,148.383333
Solomon Island,AFT,Afutara,,-9.183333,160.95
USA,AFW,"Alliance, TX",Fort Worth,32.987778,-97.318889
Türkiye,AFY,AFYON,AFYON,38.733333,30.6
Morocco,AGA,Agadir,Agadir,30.383333,-9.55
Germany,AGB,Augsburg,Augsburg,48.383333,10.883333
USA,AGC,"Allegheny County, PA",Pittsburgh,40.35,-79.933333
Indonesia,AGD,Anggi,,-1.383333,133.866667
Germany,AGE,Wangerooge,Wangerooge,53.783333,7.916667
France,AGF,Agen,Agen,44.183333,0.6
Papua New Guin,AGG,Angoram,,-4.066667,144.1
Sweden,AGH,Helsingborg,Helsingborg,56.283333,12.833333
Surinam,AGI,Wageningen,,5.766667,-56.683333
Japan,AGJ,Aguni,,26.833333,127.166667
Papua New Guin,AGK,Kagua,,-6.333333,143.833333
Papua New Guin,AGL,Wanigela,,-9.333333,149.15
Greenland,AGM,Ammassalik,,65.666667,-37.666667
USA,AGN,"Angoon, AK",,57.5,-134.583333
USA,AGO,"Municipal, AR",Magnolia,33.233333,-93.216667
Spain,AGP,Malaga,Malaga,36.675,-4.499167
Greece,AGQ,Agrinion,,38.6,21.383333
India,AGR,Kheria,Agra,27.15,77.966667
USA,AGS,augusta,augusta,33.366667,-81.966667
Paraguay,AGT,Guarani,Ciudad del Este,-25.455556,-54.843611
Mexico,AGU,Aguascalientes,,21.866667,-102.25
Venezuela,AGV,"Oswaldo Guevara Mujica, P",Acarigua,9.55,-69.233333
Australia,AGW,"Agnew, QL",,-12.15,142.15
India,AGX,Agatti Island,,10.833333,72.2
Australia,AGY,"Argyle Downs, WA",,-16.35,128.75
South Africa,AGZ,Aggeneys,,-29.273333,18.813889
Japan,AHA,Naha AFB,Okinawa,26.2,127.65
Saudi Arabia,AHB,Abha,Abha,18.216667,42.5
USA,AHC,"Amedee AAF, CA",Herlong,60.572222,4.951667
USA,AHD,"Downtown/Executive, OK",Ardmore,-16.933333,179.9
French Polynes,AHE,Ahe,,-14.5,-1.3
USA,AHF,"Municipal, NE",Arapahoe,15.316667,-88.883333
USA,AHH,"Municipal, WI",Amery,45.283333,-92.366667
Indonesia,AHI,Amahai,,-3.333333,128.916667
Guyana,AHL,Aishalton,,2.483333,-59.316667
USA,AHN,"Ben Epps, GA",Athens,33.95,-83.333333
Italy,AHO,Alghero,Alghero,40.633333,8.283333
Honduras,AHS,Ahuas,,15.441667,-84.425
USA,AHT,"Amchitka, AK",,51.5,179.0
Morocco,AHU,Al Hoceima,Al Hoceima,35.183333,-3.833333
Madagascar,AHY,Ambatolahy,,-20.016667,45.533333
France,AHZ,L'Alpe d'Huez,,45.083333,6.083333
USA,AIA,"Alliance, NE",,42.066667,-102.8
USA,AIB,"Anita Bay, AK",,56.233333,-132.383333
Marshall Islan,AIC,Airok,,7.1,171.233333
USA,AID,"Municipal, IN",Anderson,32.4,34.866667
Papua New Guin,AIE,Aiome,,-5.133333,144.733333
Brazil,AIF,"Assis, SP",,22.666667,-50.416667
Central Africa,AIG,Yalinda,,6.516667,23.25
Djibouti,AII,Ali-Sabieh,,11.15,42.716667
USA,AIK,"Municipal, SC",Aiken,33.65,-81.683333
Panama,AIL,Ailigandi,,9.233333,-78.016667
Marshall Islan,AIM,Ailuk Island,,10.2,169.983333
USA,AIN,"Municipal, AK",Wainwright,70.633333,-160.033333
USA,AIO,"Municipal, IA",Atlantic,41.4,-95.016667
Marshall Islan,AIP,Ailinglapalap Island,,7.266667,168.816667
Brazil,AIR,"Aripuana, MT",,,
Kiribati,AIS,Arorae,,-2.633333,176.816667
Cook Islands,AIT,Aitutaki,,-18.85,-159.75
Cook Islands,AIU,Atiu,,-20.033333,-158.1
USA,AIV,"George Downer, AL",Aliceville,33.1,-88.2
Namibia,AIW,Ai-Ais,,-27.983333,17.583056
USA,AIY,"Bader Field, NJ",Atlantic City,39.366667,-74.45
USA,AIZ,Lee C. Fine Memo,Kaiser-Lake Ozark,38.1,-92.55
France,AJA,Ajaccio,Ajaccio,41.916667,8.8
Saudia Arabia,AJF,Jouf,,29.933333,40.2
Türkiye,AJI,Agri,,39.65,43.033333
Mauritania,AJJ,Akjoujt,,19.733333,-14.383333
India,AJL,Aizwal,,23.733333,92.716667
Comoros,AJN,Ouani,Anjouan,-12.133333,44.433333
Saudia Arabia,AJO,Al-Jouf,,15.716667,44.25
Sweden,AJR,Arvidsjaur,Arvidsjaur,65.591389,19.285556
Mexico,AJS,Abreojos,,26.733333,-113.583333
Brasil,AJU,Aracaju,Aracaju,-10.983611,-37.067778
Niger,AJY,Manu Dayak,Agades,16.966667,7.983333
China,AKA,Ankang,,32.5,109.008333
USA,AKB,"Atka, AK","Atka, AK",52.2,-174.2
USA,AKC,"Fulton Int'l, OH",Akron,-26.8,23.75
India,AKD,Akola,,20.698889,77.058611
Gabon,AKE,Akieni,,-1.172222,13.916667
Libya,AKF,Kufrah,Kufrah,24.2,23.316667
Papua New Guin,AKG,Anguganak,,-3.583333,142.25
Saudi Arabia,AKH,Al Kharj Airport,Al Kharj Airport,24.062778,47.580556
USA,AKI,"Akiak, AK",,60.9,-161.233333
Japan,AKJ,Asahikawa,,43.5,142.508333
USA,AKK,"Akhiok SPB, AK",Akhiok,56.95,-154.166667
New Zealand,AKL,Auckland,Auckland,-37.008056,174.791667
Chad,AKM,Zakouma,,10.883333,19.816667
USA,AKN,"King Salmon, AK",,58.516667,-156.633333
USA,AKO,"Washington County, CO",Akron,40.175556,-103.221944
USA,AKP,"Anaktuvuk, AK",,68.133333,-151.733333
Indonesia,AKQ,Gunung Batin,Astraksetra,-4.616667,105.233333
Nigeria,AKR,Akure,,7.25,5.2
Solomon Island,AKS,Gwaunarru'u' (Malaita Island),Auki,,
Cyprus,AKT,Akrotiri,Akrotiri,34.604167,32.958333
China,AKU,Aksu,,38.666667,75.666667
Canada,AKV,"Akulivik, QU",,60.733333,-78.583333
Kazakstan,AKX,Aktyubinsk,Aktyubinsk,50.25,57.216667
Myanmar,AKY,Sittwe,,20.116667,92.866667
Kazakhstan,ALA,Almaty,Alma Ata,43.351944,77.040278
USA,ALB,Albany,Albany,42.733333,-73.8
Spain,ALC,Alicante,Alicante,38.282222,-0.558056
Peru,ALD,Alerta,,-11.7,-69.35
USA,ALE,"Alpine, TX",,30.386111,-103.683333
Norway,ALF,Alta,Alta,69.983333,23.366667
Algeria,ALG,Algiers,Algiers,36.783333,3.05
Australia,ALH,"Albany, WA",,-34.95,117.8
USA,ALI,"Int'l, TX",Alice,27.733333,-98.016667
South Africa,ALJ,Kortdoorn,Alexander Bay,-28.616667,16.533333
Ethiopia,ALK,Asela,,7.966667,39.116667
Italy,ALL,Albenga,Albenga,44.033333,8.116667
USA,ALM,"White Sands Regional, N",Alamogordo,32.833333,-106.0
USA,ALN,"St.Louis Regional, IL",Alton,38.891667,-90.172222
USA,ALO,Waterloo,Waterloo,42.55,-92.383333
Syria,ALP,Aleppo,Aleppo,36.183333,37.233333
Brazil,ALQ,"Federal, RS",Alegrete,-29.8,-55.733333
New Zealand,ALR,Alexandra,,-45.216667,169.366667
USA,ALS,"Municipal, CO",Alamosa,37.433333,-105.866667
Brasil,ALT,ALENQUER,ALENQUER,-1.938889,-54.747222
Somalia,ALU,Alula,,11.883333,50.666667
Andorra,ALV,Heliport,Andorra La Vella,42.5,1.516667
USA,ALW,Walla Walla,Walla Walla,46.1,-118.3
USA,ALX,Thomas C. Russell F,Alexander City,32.933333,-85.95
Egypt,ALY,Alexandria,Alexandria,31.183333,29.95
USA,ALZ,"SPB, AK",Alitak,56.895833,-154.245833
USA,AMA,Amarillo,Amarillo,35.226389,-101.705833
Madagascar,AMB,Ambilobe,,-13.183333,48.983333
Chad,AMC,Am Timan,,11.033333,20.266667
India,AMD,Ahmedabad,Ahmedabad,23.077222,72.634722
Mozambique,AME,Alto Molocue,,-15.65,37.683333
Papua New Guin,AMF,Ama,,-4.166667,141.666667
Papua New Guin,AMG,Amboin,,-4.6,143.5
Ethiopia,AMH,Arba Minch,,6.0,37.508333
Indonesia,AMI,Selaparang,Mataram,-8.566667,116.1
Brazil,AMJ,"Almenara, MG",,-16.183333,-40.683333
USA,AMK,"Animas Airpark, CO",Durango,14.466667,-87.85
Panama,AML,Puerto Armuellas,,8.3,-82.866667
Jordania,AMM,Amman,Amman,31.966667,35.983333
USA,AMN,"Gratiot Community, MI",Alma,43.383333,-84.65
Chad,AMO,Mao,,14.116667,15.316667
Madagascar,AMP,Ampanihy,,-24.7,44.733333
Indonesia,AMQ,Pattimura,Ambon,-3.7,128.083333
Marshall Islan,AMR,Arno,,7.083333,171.683333
The Netherlands,AMS,Amsterdam,Amsterdam,52.308611,4.763889
Australia,AMT,"Amata, NT",,-26.2,131.116667
Papua New Guin,AMU,Amanab,,-3.516667,141.25
Russia (CIS),AMV,Amderma,,69.766667,61.55
USA,AMW,"Ames, IA",,42.0,-93.616667
Australia,AMX,"Ammaroo, NT",,-21.74,135.24
Madagascar,AMY,Ambatomainty,,-17.683333,45.666667
New Zealand,AMZ,Ardmore,,-37.029722,174.973333
USA,ANA,"Anaheim, CA",,33.848333,-117.850278
USA,ANB,"Metropolitan, AL",Anniston,33.588056,-85.858056
USA,ANC,Anchorage,Anchorage,61.174444,-149.996389
USA,AND,"County, SC",Anderson,34.5,-82.716667
France,ANE,Angers,Angers,47.560278,-0.312222
Chile,ANF,Cerro Morena Int'l,Antofagasta,-23.439444,-70.442778
France,ANG,Angouleme,Angouleme,45.666667,0.2
Solomon Island,ANH,Anuha Island Resort,,-8.983333,160.5
USA,ANI,"Aniak, AK",,61.583333,-159.533333
Congo (the),ANJ,Zanaga,,-2.85,13.833333
Türkiye,ANK,Ankara,Ankara,39.949444,32.683056
Angola,ANL,Andulo,,-11.5,16.75
Madagascar,ANM,Antalaha,,-15.0,50.333333
USA,ANN,"Annette Island, AK",,55.033333,-131.566667
Mozambique,ANO,Angoche,,-16.166667,39.933333
USA,ANP,"Lee, MO",Annapolis,38.983333,-76.5
USA,ANQ,"Tri-State Steuben County, I",Angola,41.633333,-85.0
Belgium,ANR,Antwerp,Antwerp,51.189444,4.460278
Peru,ANS,Andahuaylas,Andahuaylas,-13.65,-73.416667
Austria,ANT,Saint Anton,Saint Anton,,
Virgin Islands,ANU,Antigua,Antigua,17.136667,-61.792778
USA,ANV,"Anvik, AK",,62.65,-160.216667
USA,ANW,"Ainsworth, NE",,42.583333,-99.983333
Norway,ANX,Andoya,Andenes,69.316667,16.116667
USA,ANY,"Anthony, KS",,37.15,-98.033333
Australia,ANZ,"Angus Downs, NT",,-25.083333,132.166667
Papua New Guin,AOA,Aroa,,-9.033333,146.75
Papua New Guin,AOB,Annanberg,,-4.916667,144.666667
Germany,AOC,Nobitz,Kindsbach,50.983333,12.508333
Chad,AOD,Abou Deia,,11.466667,19.283333
Türkiye,AOE,Eskisehir H Polatkan,Eskisehir,39.811667,30.528611
China,AOG,Anshan,,41.166667,123.033333
USA,AOH,"Allen County, OH",Lima,40.716667,-84.033333
Italy,AOI,Ancona,Ancona,43.633333,13.5
Japan,AOJ,Aomori,,40.733333,140.7
Greece,AOK,Karpathos,Karpathos,35.5,27.233333
Argentina,AOL,"Paso de los Libres, CR",,-29.683333,-57.15
Papua New Guin,AON,Arona,,-6.25,145.966667
USA,AOO,"Blair County,",Altoona-Martinsburg,40.3,-78.316667
Malaysia,AOR,Sultan Abdul Halim,Alor Setar,6.189722,100.398056
USA,AOS,"Amook, AK",,57.466667,-153.833333
Italy,AOT,Aosta,Aosta,,
Laos,AOU,Attopeu,,14.8,106.816667
USA,APA,Centennial,Denver,39.566667,-104.833333
Bolivia,APB,Apolo,,-14.716667,-68.5
USA,APC,"Napa, CA",,38.45,-122.216667
Peru,APE,San Juan Aposento,,-15.35,-75.166667
USA,APF,Naples,Naples,26.15,-81.766667
USA,APG,Phillips AAF (Proving Gro,Aberdeen,52.316667,-1.283333
USA,APH,"Camp A.P. Hill, VA",Bowling Green,38.05,-77.35
Colombia,API,"Apiay, ME",,4.068889,-73.051944
French Polynes,APK,"Apataki, TU",,-15.083333,-145.333333
Mozambique,APL,Nampula,,-15.1,39.283333
USA,APN,"County Regional, MI",Alpena,45.083333,-83.55
Colombia,APO,Apartado,,7.033333,-77.2
Papua New Guin,APP,Asapa,,-8.983333,148.133333
Brazil,APQ,"Arapiraca, AL",,-9.75,-36.65
Papua New Guin,APR,April River,,-4.3,142.433333
Brazil,APS,"Anapolis, GO",,-16.362222,-48.926944
USA,APT,"Marion County, TN",Jasper,35.066667,-85.633333
Brazil,APU,"Apucarana, PR",,-23.55,-51.483333
USA,APV,"Apple Valley, CA",,34.575278,-117.186111
Samoa,APW,Apia,Apia,-13.833333,-172.0
Brazil,APX,"Arapongas, PR",,-23.383333,-51.95
Brazil,APY,"Alto Parnaiba, MA",,-9.1,-45.966667
Argentina,APZ,"Zapala, NE",,-38.916667,-70.083333
Brazil,AQA,"Araraquara, SP",,-21.811944,-48.133056
Guatemala,AQB,Quiche,,15.366667,-89.8
China,AQG,Anqing,,30.516667,117.033333
Saudia Arabia,AQI,Qaisumah,,28.316667,46.116667
Jordania,AQJ,Aqaba,Aqaba,29.0,34.666667
Brazil,AQM,"Ariquemes, RO",,-9.933333,-63.066667
Peru,AQP,Arequipa,Arequipa,-16.341111,-71.583056
Fiji,AQS,Saqani,,-16.75,179.35
USA,AQY,"Alyeska, AK",,60.966667,-149.116667
USA,ARA,"Acadiana Regional, LA",New Iberia,80.133333,32.583333
USA,ARB,"Municipal, MI",Ann Arbor,42.223056,-83.745556
USA,ARC,"Arctic Village, AK",,68.116667,-145.583333
Indonesia,ARD,Alor Island,,-8.25,124.75
Puerto Rico,ARE,Arecibo,,18.45,-66.666667
Colombia,ARF,Acaricuara,,0.533333,-70.133333
USA,ARG,"Walnut Ridge, AR","Walnut Ridge, AR",36.116667,-90.916667
Russia (CIS),ARH,Talagi,Arkhangelsk,64.566667,40.533333
Chili,ARI,Arica,Arica,-18.5,-70.316667
Indonesia,ARJ,Arso,,-2.933333,140.783333
Tanzania,ARK,Arusha,,-3.367778,36.633333
Burkina Faso,ARL,Arli,,11.583333,1.25
Australia,ARM,"Armidale, NS",,-30.533333,151.616667
Sweden,ARN,Stockholm,Stockholm,59.651944,17.918611
Colombia,ARO,Arboletas,,8.866667,-76.433333
Papua New Guin,ARP,Aragip,,-9.9,149.466667
Colombia,ARQ,Arauquita,,7.036111,-71.440278
Argentina,ARR,"Alto Rio Senguerr, CH",,-45.166667,-71.0
Brazil,ARS,"Aragarcas, GO",,-15.896667,-52.095556
USA,ART,"Int'l, NY",Watertown,43.983333,-76.016667
Brazil,ARU,"Aracatuba, SP",,-21.183333,-50.416667
USA,ARV,"Noble F.Lee, WI",Minocqua,45.916667,-89.733333
Romania,ARW,Arad,Arad,46.166667,21.25
USA,ARX,"Asbury Park, NJ",,40.219444,-74.09
Australia,ARY,"Ararat, VI",,-37.309444,142.988611
Angola,ARZ,N'Zeto,,,
Eritrea,ASA,Assab,,13.071667,42.645
Turkmenistan,ASB,Ashkhabad,Ashkhabad,37.95,58.383333
Saint Helena,ASC,Ascension,Ascension,-15.716667,-63.066667
Bahamas,ASD,"Andros Town, Andros Island",,24.6975,-77.793889
USA,ASE,Aspen,Aspen,39.223056,-106.868889
Russia (CIS),ASF,Narimanovo,Astrakhan,46.35,48.05
New Zealand,ASG,Ashburton,,-43.9,171.783333
USA,ASH,"Boire Field, NH",Nashua,42.781667,-71.514722
St. Helena,ASI,Wideawake Field,Georgetown,-7.969722,-14.393611
Japan,ASJ,Amami O Shima,,28.416667,129.7
Côte d'Ivoire,ASK,Yamoussoukro,,6.9,-5.366667
USA,ASL,"Harrison County, TX",Marshall,,
Eritrea,ASM,Asmara,Asmara,15.291944,38.910556
USA,ASN,"Talladega, AL",,38.6,-0.683333
Ethiopia,ASO,Assosa,,10.066667,34.55
Australia,ASP,Alice Springs,Alice Springs,-23.8,133.883333
USA,ASQ,"Austin, NV",,39.5,-117.066667
Türkiye,ASR,Kayseri,Kayseri,38.7,35.5
USA,AST,"Astoria, OR",,46.166667,-123.883333
Paraguay,ASU,Asuncion,Asuncion,-25.266667,-57.666667
Kenya,ASV,Amboseli,,-2.633333,37.25
Egypt,ASW,Aswan,Aswan,23.964444,32.82
USA,ASX,"Ashland, WI",,46.548611,-90.918889
USA,ASY,"Ashley, ND",,46.033333,-99.366667
Papua New Guin,ASZ,Asirim,,,
Peru,ATA,Comandante FAP German Arias G,Anta,-13.483333,-72.133333
Sudan,ATB,Atbara,,17.7,33.983333
Bahamas,ATC,"Arthur's Town, Cay Island",,,
Solomon Island,ATD,"Atoifi, Uru Harbour (Malaita Islan",,-8.866667,161.033333
USA,ATE,"Antlers, OK",,34.233333,-95.616667
Ecuador,ATF,Ambato,,-1.2,-78.566667
Greece,ATH,Athens,Athens,37.936389,23.944444
Uruguay,ATI,Int'l,Artigas,-30.416667,-56.516667
Madagascar,ATJ,Antsirabe,,-19.083333,47.066667
USA,ATK,"Atqasuk, AK",,70.466667,-157.333333
USA,ATL,Atlanta,Atlanta,33.636667,-84.428056
Brazil,ATM,"Altamira, PA",,-3.253889,-52.253889
Papua New Guin,ATN,Namatanai,,-3.666667,152.45
USA,ATO,"Ohio University, OH",Athens,39.333333,-82.1
Papua New Guin,ATP,Airstrip,Aitape,-3.133333,142.35
India,ATQ,Raja Sansi,Amritsar,31.709722,74.797222
Mauritania,ATR,Mouakchott,Atar,20.5,-13.05
USA,ATS,"Artesia, NM",,32.85,-104.466667
USA,ATT,"Atmautluak, AK",,61.0,-162.75
USA,ATU,"Casco Cove, AK",Attu Island,52.833333,173.183333
Chad,ATV,Ati,,13.233333,18.316667
USA,ATW,Appleton,Appleton,44.266667,-88.516667
Kazakstan,ATX,Atbasar,,51.883333,68.4
USA,ATY,"Municipal, SD",Watertown,44.916667,-97.15
Egypt,ATZ,Asyut,,27.05,31.016667
Aruba,AUA,Aruba,Aruba,12.5,-70.016667
Brazil,AUB,"Itauba, MT",,-7.1,-41.983333
Colombia,AUC,"Santiago Perez, AR",Arauca,7.066667,-70.733333
Australia,AUD,"Augustus Downs, QL",,-18.666667,139.933333
Egypt,AUE,Abu Rudeis,,28.966667,33.183333
France,AUF,Auxerre,Auxerre,47.846389,3.496667
USA,AUG,Augusta,Augusta,44.316667,-69.8
United Arab Emirates (the),AUH,Abu Dhabi,Abu Dhabi,24.433056,54.651111
Papua New Guin,AUI,Aua Island,,-1.45,143.066667
Papua New Guin,AUJ,Ambunti,,-4.25,142.85
USA,AUK,"Alakanuk, AK",,62.683333,-164.633333
Marshall Islan,AUL,Aur Island,,8.133333,171.166667
USA,AUM,"Austin, MN",,43.666667,-92.933333
USA,AUN,"Auburn, CA",,38.9,-121.066667
USA,AUO,"Opelika, AL",Auburn,32.616667,-85.433333
Papua New Guin,AUP,Agaun,,-9.916667,149.333333
French Polynes,AUQ,"Atuona, MA",,-9.8,-139.033333
France,AUR,Aurillac,Aurillac,44.891667,-2.416667
USA,AUS,Austin,Austin,30.194444,-97.67
Indonesia,AUT,Atauro,,-8.0,125.675
Australia,AUU,"Aurukun Mission, QL",,-13.353889,141.720833
USA,AUW,"Municipal, WI",Wausau,44.766667,-89.680556
France,AUX,Metz,Auxerre,-7.2,-48.2
Vanuatu,AUY,Aneityum,,-20.333333,169.666667
USA,AUZ,"Municipal, IL",Aurora,41.766667,-88.316667
Italy,AVB,Aviano,Aviano,46.066667,12.6
France,AVF,Avoriaz,,46.2,6.766667
Australia,AVG,"Auvergne, NT",,-15.75,129.916667
Cuba,AVI,Ciego de avi,Ciego De Avila,22.025,-78.791389
Mongolia,AVK,Arvaikheer,,46.266667,102.783333
USA,AVL,Asheville,Asheville,35.436111,-82.541667
France,AVN,Avignon,Avignon,43.906667,4.901944
USA,AVO,"Avon Park, FL",,27.6,-81.516667
USA,AVP,Wilkes-Barre,Wilkes-Barre,41.338333,-75.723333
Solomon Island,AVU,Haimarau (Guadalcanal Isla,Avu Avu,-9.85,160.416667
Australia,AVV,Avalon,"Avalon, VI",-38.033333,144.466667
USA,AVW,"Avra Valley, AZ",Tucson,,
USA,AVX,"Avalon Bay, CA",Catalina Island,33.333333,-118.35
Ethiopia,AWA,Lake Awasa,Awasa,6.966667,38.402778
Papua New Guin,AWB,Awaba,,-8.016667,142.75
Vanuatu,AWD,Aniwa,,-19.283333,169.583333
Gabon,AWE,Alowe,,-0.75,9.45
Ethiopia,AWH,Awareh,,8.266667,44.183333
Micronesia,AWK,Wake Island,,19.283333,166.65
USA,AWM,"Municipal, AR",West Memphis,35.133333,-90.183333
Australia,AWN,"Alton Downs, SA",,-26.483333,139.316667
